model,split,target,MAE,R2
LinearRegression,train,C_L,0.041195195594839605,0.9827184687073578
LinearRegression,train,C_D,0.00522420754912006,0.7528000557613935
LinearRegression,test,C_L,0.04568522263820501,0.9826419180627725
LinearRegression,test,C_D,0.005585590168970685,0.7730066751295198
NeuralNetwork,train,C_L,0.013106965741749958,0.9985683440393174
NeuralNetwork,train,C_D,0.0044823895135408,0.7750613355827579
NeuralNetwork,test,C_L,0.01760294126528644,0.9975048460975429
NeuralNetwork,test,C_D,0.007748509271424072,0.4700326496279025
