model,split,target,MAE,R2
LinearRegression,train,C_L,0.041195195594839605,0.9827184687073578
LinearRegression,train,C_D,0.00522420754912006,0.7528000557613935
LinearRegression,test,C_L,0.04568522263820501,0.9826419180627725
LinearRegression,test,C_D,0.005585590168970685,0.7730066751295198
NeuralNetwork,train,C_L,0.05123409256818471,0.9802915110090797
NeuralNetwork,train,C_D,0.03518088849272692,-10.925053855612115
NeuralNetwork,test,C_L,0.057357431639047114,0.9785568297192773
NeuralNetwork,test,C_D,0.03828313073817989,-10.055734780257866
